isogroup gene ontology,
TRINITY_DN24806_c0_g1,GO:0000776;GO:0030893;GO:0005634;GO:0005524;GO:0003682;GO:0051301;GO:0006281;GO:0007126;GO:0007093;GO:0007064;GO:0009314;GO:0042770
TRINITY_DN27912_c0_g1,GO:0005737;GO:0005643;GO:0005634;GO:0005049;GO:0008536;GO:0051028;GO:0006611
TRINITY_DN28719_c0_g1,GO:0005840;GO:0003735;GO:0006412
TRINITY_DN38814_c0_g1,GO:0009507;GO:0009941;GO:0031359;GO:0009536;GO:0004040;GO:0015031
TRINITY_DN4035_c0_g1,GO:0005737;GO:0042327
TRINITY_DN17496_c0_g1,GO:0017109;GO:0005634;GO:0048471;GO:0005524;GO:0004357;GO:0007409;GO:0006974;GO:0006750;GO:0006749;GO:0007476;GO:0046688
TRINITY_DN30427_c0_g1,GO:0015629;GO:0005776;GO:0000421;GO:0005930;GO:0044297;GO:0031410;GO:0005829;GO:0000139;GO:0005764;GO:0005874;GO:0005875;GO:0048471;GO:0005886;GO:0005790;GO:0097225;GO:0050811;GO:0000045;GO:0006995;GO:0008625;GO:0000226;GO:0000422;GO:0015031
TRINITY_DN21712_c0_g1,GO:0005737;GO:0005794;GO:0005654;GO:0005886;GO:0000159;GO:0003700;GO:0000122;GO:0045892;GO:0045944
TRINITY_DN20716_c0_g1,GO:0005634;GO:0046872
TRINITY_DN28103_c0_g1,GO:0005737;GO:0005829;GO:0005834;GO:0005886;GO:0005096;GO:0004871;GO:0007186;GO:0035556;GO:0009968
TRINITY_DN25897_c0_g1,GO:0015934;GO:0003735;GO:0006412
TRINITY_DN17719_c0_g1,GO:0005901;GO:0005938;GO:0060473;GO:0009898;GO:0000139;GO:0005887;GO:0045121;GO:0048471;GO:0030133;GO:0032947;GO:0070836;GO:0007126;GO:0007265;GO:0046662
TRINITY_DN29375_c0_g1,GO:0005694;GO:0000793;GO:0009330;GO:0000792;GO:0005654;GO:0005634;GO:0005524;GO:0030332;GO:0003677;GO:0008301;GO:0003918;GO:0008094;GO:0008144;GO:0000287;GO:0030263;GO:0008283;GO:0006974;GO:0007059;GO:0006266;GO:0006260;GO:0006265;GO:0006268;GO:0044774;GO:0006312;GO:0043065;GO:0000712;GO:0048511;GO:0000819
TRINITY_DN111_c0_g1,GO:0022627;GO:0003723;GO:0003735;GO:0000028;GO:0006412
TRINITY_DN5857_c0_g1,GO:0030016;GO:0032982;GO:0005524;GO:0003774
TRINITY_DN23820_c0_g1,GO:0022627;GO:0070062;GO:0005615;GO:0016020;GO:0043209;GO:0005730;GO:0005654;GO:0046872;GO:0044822;GO:0003735;GO:0006281;GO:0006412;GO:0019985
TRINITY_DN26435_c0_g1,GO:0005677;GO:0000793;GO:0005730;GO:0005654;GO:0005634;GO:0016589;GO:0031213;GO:0005524;GO:0016887;GO:0003677;GO:0004386;GO:0031491;GO:0043044;GO:0034080;GO:0006338;GO:0000183;GO:0016569;GO:0006352;GO:0006302;GO:0006334;GO:0016584;GO:0045815;GO:0045893;GO:0006357
TRINITY_DN33981_c0_g1,GO:0005634;GO:0051301;GO:0007067
TRINITY_DN34768_c0_g1,GO:0005737;GO:0035686;GO:0051018;GO:0007283
TRINITY_DN37737_c0_g1,GO:0034451;GO:0005737;GO:0005654;GO:0043234;GO:0060271
TRINITY_DN36213_c0_g1,GO:0005764;GO:0008047;GO:0016787;GO:0006689
TRINITY_DN13954_c0_g1,GO:0030131;GO:0030665;GO:0005802;GO:0019901;GO:0008565;GO:0007368;GO:0007507;GO:0006886;GO:0016192
TRINITY_DN38710_c0_g1,GO:0005829;GO:0005783;GO:0019901;GO:0004860;GO:0070417;GO:1903912;GO:0036494;GO:0006986
TRINITY_DN17292_c0_g1,GO:0043679;GO:0071013;GO:0030425;GO:0005783;GO:0030426;GO:0030529;GO:0005654;GO:0005681;GO:0003730;GO:0000166;GO:0044822;GO:0003723;GO:0007623;GO:0010467;GO:0061157;GO:0006397;GO:0000398;GO:0043086;GO:0061014
TRINITY_DN14677_c0_g1,GO:0016021
TRINITY_DN27773_c0_g1,GO:0005604;GO:0000785;GO:0005737;GO:0030893;GO:0016363;GO:0000922;GO:0005524;GO:0003682;GO:0045502;GO:0051301;GO:0006281;GO:0007126;GO:0007064;GO:0007052;GO:0006275;GO:0007165
TRINITY_DN8379_c0_g1,GO:0005634;GO:0048471;GO:0003682;GO:0006974;GO:0051297;GO:0006260;GO:0051726;GO:0009411;GO:0019985
TRINITY_DN16450_c0_g1,GO:0022625;GO:0003735;GO:0051298;GO:0051297;GO:0002181;GO:0000027;GO:0019233;GO:0006412
TRINITY_DN26747_c0_g1,GO:0005794;GO:0000139;GO:0017119;GO:0007030;GO:0015031;GO:0000301
TRINITY_DN25412_c0_g1,GO:0005634;GO:0030688;GO:0004521;GO:0046872;GO:0000469;GO:0030490
TRINITY_DN27764_c0_g1,GO:0005737;GO:0030178;GO:2000543;GO:0051302;GO:2000114;GO:0032880
TRINITY_DN12544_c0_g1,GO:0005737;GO:0005634;GO:0005525;GO:0003924;GO:0003746
TRINITY_DN37129_c0_g1,GO:0005634;GO:0046872;GO:0003676;GO:1902669
TRINITY_DN28070_c0_g1,GO:0005737;GO:0005681;GO:0045292;GO:0006364
TRINITY_DN9977_c0_g1,GO:0005634;GO:0051059;GO:1900017;GO:0051092;GO:0051091
TRINITY_DN12461_c0_g1,GO:0005737;GO:0005851;GO:0005634;GO:0005085;GO:0003743;GO:0031369;GO:0007568;GO:0014002;GO:0048708;GO:0035690;GO:0021766;GO:0042552;GO:0014003;GO:0001541;GO:0043065;GO:0045727;GO:0045948;GO:0034976;GO:0009749;GO:0009408;GO:0010226;GO:0043434;GO:0006413
TRINITY_DN33991_c0_g1,GO:0005576;GO:0046872;GO:0008484;GO:0008152
TRINITY_DN19218_c0_g1,GO:0005737;GO:0070062;GO:0005634;GO:0005524;GO:0044822;GO:0003713;GO:0061631;GO:0031625;GO:0097027;GO:0004842;GO:0044770;GO:0008283;GO:0071385;GO:0071383;GO:1903955;GO:0031398;GO:0051443;GO:0070979;GO:0000209;GO:0016567;GO:0042787;GO:0006355;GO:0006351
TRINITY_DN27529_c0_g1,GO:0005783;GO:0030176;GO:0016020;GO:0005840;GO:0044822;GO:0004872;GO:0001649;GO:0015031;GO:0006412
TRINITY_DN32834_c0_g1,GO:0005905;GO:0016021;GO:0016020;GO:0005886;GO:0043235;GO:0034361;GO:0034185;GO:0005509;GO:0048306;GO:0001948;GO:0034437;GO:0005041;GO:0038025;GO:0034189;GO:0030229;GO:0008203;GO:0048813;GO:0034436;GO:0006869;GO:0007613;GO:0000122;GO:0007399;GO:1900006;GO:0045860;GO:0006898;GO:0038026;GO:0007165;GO:0021517;GO:0034447
TRINITY_DN11460_c0_g1,GO:0009986;GO:0005737;GO:0031410;GO:0070062;GO:0005886;GO:0000502;GO:0045202;GO:0004866;GO:0070628;GO:0004843;GO:0007268;GO:1903070;GO:0016579;GO:0050920;GO:0061136;GO:0006511
TRINITY_DN25807_c0_g1,
TRINITY_DN14536_c0_g1,GO:0005737;GO:0000234;GO:0006656
TRINITY_DN35856_c0_g1,GO:0005887;GO:0005315;GO:0015319
TRINITY_DN27919_c0_g1,GO:0005769;GO:0070062;GO:0019898;GO:0019899;GO:0035091;GO:2000642;GO:0010629;GO:0042177;GO:0010955;GO:0051224;GO:0015031;GO:0030100;GO:0016050
TRINITY_DN3298_c0_g1,GO:0005840;GO:0019843;GO:0003735;GO:0006412
TRINITY_DN22241_c0_g1,GO:0005615;GO:0005764;GO:0004197;GO:0051603
TRINITY_DN37003_c0_g1,GO:0006950
TRINITY_DN33284_c0_g1,GO:0030529;GO:0005634;GO:0005703;GO:0048027;GO:0003729;GO:0000166;GO:0043565;GO:0001745;GO:0036099;GO:0033119;GO:0048477;GO:0045727;GO:0000381;GO:0010906;GO:0019233
TRINITY_DN6532_c0_g1,GO:0005788;GO:0005622;GO:0003755;GO:0006457
TRINITY_DN39539_c0_g1,GO:0005813;GO:0005737;GO:0016021;GO:0016020;GO:0005654;GO:0004842;GO:0008270;GO:0042787;GO:0016032
TRINITY_DN23773_c0_g1,GO:0005840;GO:0003735;GO:0006412
TRINITY_DN25787_c0_g1,GO:0005789;GO:0005643;GO:0043022;GO:0003746;GO:0051028;GO:0045727;GO:0045901;GO:0045905;GO:0015031;GO:0006452
TRINITY_DN33455_c0_g1,GO:0005509
TRINITY_DN531_c0_g1,GO:0071013;GO:0071011;GO:0000974;GO:0003677;GO:0001700;GO:0035214;GO:0000398
TRINITY_DN2624_c0_g1,GO:0005783;GO:0016055
TRINITY_DN18200_c0_g1,GO:0005737;GO:0042470;GO:0005634;GO:0005886;GO:0005524;GO:0016887;GO:0006457;GO:0046677;GO:0009409;GO:0009408
TRINITY_DN24450_c0_g1,GO:0002244
TRINITY_DN31140_c0_g1,GO:0005737;GO:0005730;GO:0005654;GO:0005634;GO:0071889;GO:0005524;GO:0000287;GO:0044822;GO:0004674;GO:0001525;GO:0030154;GO:0035556;GO:0045071;GO:0035063;GO:0045787;GO:0008284;GO:0010628;GO:0043525;GO:0045070;GO:0006468;GO:0008380;GO:0000245
TRINITY_DN32480_c0_g1,GO:0005769;GO:0006893;GO:0015031
TRINITY_DN36032_c0_g1,GO:0005737;GO:0005524;GO:0000049;GO:0004831;GO:0004832;GO:0006437;GO:0006438
TRINITY_DN31121_c0_g1,GO:0070062;GO:0016020;GO:0043209;GO:0070044;GO:0043195;GO:0005774;GO:0032403;GO:0000149;GO:0005483;GO:0019905;GO:0045176;GO:0007420;GO:0006886;GO:0061025;GO:0030182;GO:0010807;GO:0035494;GO:0035249
TRINITY_DN12039_c1_g1,GO:0005737;GO:0000177;GO:0000932;GO:0000176;GO:0000175;GO:0046872;GO:0003723;GO:0051301;GO:0010587;GO:0007067;GO:0006402;GO:0000291;GO:0034427;GO:1990074;GO:0016075;GO:0006364;GO:0019827
TRINITY_DN7132_c0_g1,GO:0015629;GO:0005814;GO:0005813;GO:0035253;GO:0005737;GO:0070062;GO:0001917;GO:0005886;GO:0019894;GO:0005198;GO:0007049;GO:0010457;GO:0051297;GO:0032053;GO:0010669;GO:0051656;GO:0045494;GO:0045724;GO:1903566;GO:0008104;GO:0033365
TRINITY_DN33927_c1_g1,GO:0005789;GO:0033116;GO:0005794;GO:0016021;GO:0016192
TRINITY_DN1400_c0_g1,GO:0005829;GO:0005815;GO:0005634;GO:0005886;GO:0005524;GO:0046872;GO:0004672;GO:0004674;GO:0030036;GO:0010825;GO:0032956;GO:0042752;GO:0007266;GO:0048511;GO:0006939
TRINITY_DN34646_c0_g1,GO:0005737;GO:0031514;GO:0030154;GO:0060216
TRINITY_DN5246_c0_g1,GO:0005737;GO:0030175;GO:0030027;GO:0005654;GO:0032587;GO:0005085;GO:0030676;GO:0016477;GO:0046847;GO:0035556;GO:0030032;GO:0030334;GO:0035023
TRINITY_DN24711_c0_g1,GO:0005829;GO:0005524;GO:0046872;GO:0004478;GO:0009087;GO:0006730;GO:0051289;GO:0006556
TRINITY_DN25680_c0_g1,GO:0005840;GO:0003735;GO:0006412
TRINITY_DN39317_c0_g1,GO:0000777;GO:0005829;GO:0016020;GO:0005635;GO:0031965;GO:0031080;GO:0005819;GO:0017056;GO:0031047;GO:0075733;GO:0030032;GO:0048246;GO:0007077;GO:0006406;GO:0045893;GO:0006606;GO:0016925;GO:1900034;GO:0010827;GO:0007062;GO:0006409;GO:0016032;GO:0019083
TRINITY_DN7112_c1_g1,GO:0005813;GO:0005737;GO:0016020;GO:0000790;GO:0005654;GO:0005634;GO:0016581;GO:0043234;GO:0032993;GO:0005524;GO:0004003;GO:0003677;GO:0004407;GO:0042826;GO:0001103;GO:0008270;GO:0043044;GO:0000122;GO:1901796;GO:0006357;GO:0051225;GO:0072553;GO:0006351
TRINITY_DN10671_c0_g1,GO:0070062;GO:0016020;GO:0005634;GO:0022624;GO:0000502;GO:0005838;GO:0008541;GO:0005198;GO:0043248;GO:0048863;GO:0006511
TRINITY_DN23533_c0_g1,GO:0003964;GO:0006313
TRINITY_DN34516_c0_g1,GO:0005634;GO:0016569;GO:0043249;GO:0030851;GO:0030225;GO:0006355;GO:0006351
TRINITY_DN26809_c0_g1,GO:0004364
TRINITY_DN16819_c0_g1,GO:0004089;GO:0008270;GO:0006730
TRINITY_DN20151_c0_g1,GO:0031225;GO:0005886;GO:0004252;GO:0008236;GO:0017080;GO:0006508;GO:0006814
TRINITY_DN23046_c0_g1,GO:0005576;GO:0008745;GO:0042834;GO:0008270;GO:0042742;GO:0045087;GO:0001818;GO:0009253
TRINITY_DN39678_c0_g1,GO:0010494;GO:0005829;GO:0071014;GO:0005840;GO:0000166;GO:0008143;GO:1990841;GO:0008428;GO:0006406;GO:0006397;GO:0060211;GO:0006446
TRINITY_DN37044_c0_g1,GO:0072546;GO:0016021;GO:0000045;GO:0034975
TRINITY_DN29621_c0_g1,GO:0005737;GO:0005634;GO:0003729;GO:0000166;GO:0000340;GO:0006370;GO:0051028
TRINITY_DN31500_c0_g1,GO:0005884;GO:0005737;GO:0036464;GO:0031410;GO:0005829;GO:0031901;GO:0070062;GO:0031012;GO:0019897;GO:0005925;GO:0000139;GO:0060091;GO:0030027;GO:0042470;GO:0016020;GO:0005634;GO:0000242;GO:0001891;GO:0032587;GO:0005802;GO:0051117;GO:0005525;GO:0003924;GO:0042826;GO:0019901;GO:0017137;GO:0051022;GO:0030036;GO:0007015;GO:0030041;GO:0048532;GO:0002093;GO:0007411;GO:0045453;GO:0048870;GO:0008283;GO:0045216;GO:0071260;GO:0021894;GO:0021799;GO:0006935;GO:0090103;GO:0048813;GO:0021831;GO:0043652;GO:0003382;GO:0007186;GO:0048873;GO:0006972;GO:0030032;GO:0051668;GO:0002551;GO:1904948;GO:0032707;GO:0030838;GO:0060999;GO:0045740;GO:0051894;GO:0010592;GO:0090023;GO:0043552;GO:0001934;GO:0051496;GO:1900026;GO:0072659;GO:0016601;GO:0030334;GO:0008361;GO:0010762;GO:0014041;GO:0048168;GO:0060263;GO:0097178;GO:0071526;GO:0034446;GO:0051932;GO:0060071
TRINITY_DN36623_c0_g1,GO:0070062;GO:0005615;GO:0030173;GO:0045171;GO:0016971;GO:0003756;GO:0045454;GO:0016242;GO:0006457
TRINITY_DN18880_c0_g1,GO:0034451;GO:0005813;GO:0005801;GO:0005737;GO:0005829;GO:0070695;GO:0005794;GO:0030897;GO:0005874;GO:0005815;GO:0000242;GO:0051959;GO:0042802;GO:0008017;GO:0031122;GO:0030705;GO:0045022;GO:0007032;GO:0008333;GO:0051645;GO:0022027;GO:0007040;GO:0034454;GO:0050768;GO:0097150;GO:0071539;GO:0015031
TRINITY_DN27089_c0_g1,GO:0005814;GO:0005813;GO:0005869;GO:0030286;GO:0005874;GO:0035371;GO:0005819;GO:0008017;GO:0003774;GO:0031122;GO:0090316;GO:0010970
TRINITY_DN28057_c0_g1,GO:0005576;GO:0016021;GO:0005886;GO:0005044;GO:0001618;GO:0006953
TRINITY_DN21677_c0_g1,GO:0005737;GO:0005634;GO:0036459;GO:0016579;GO:0006511
TRINITY_DN30738_c0_g1,GO:0005737;GO:0005634;GO:0000166;GO:0003723;GO:0006397;GO:0008380
TRINITY_DN39232_c0_g1,GO:0005737;GO:0005654;GO:0005634;GO:0035064;GO:0008270;GO:0007049;GO:0006325;GO:0008285;GO:0045893;GO:0006606;GO:0010941
TRINITY_DN15621_c0_g1,GO:0031307;GO:0016020;GO:0005743;GO:0005741;GO:0005739;GO:0004095;GO:1990698;GO:0009437;GO:0071398;GO:0007623;GO:0042755;GO:0030855;GO:0006635;GO:0006006;GO:0001676;GO:0032000;GO:0051260;GO:0050796;GO:0042493;GO:0014070;GO:0006810;GO:0006641
TRINITY_DN37545_c0_g1,GO:0016021;GO:0031966;GO:0070469;GO:0008137
TRINITY_DN5058_c0_g1,GO:0005634;GO:0043565;GO:0003700;GO:0010595;GO:0045765;GO:0006351
TRINITY_DN8353_c0_g1,GO:0030424;GO:0045178;GO:0005938;GO:0005737;GO:0016020;GO:0005874;GO:0043204;GO:0005886;GO:0005819;GO:0005524;GO:0004672;GO:0004674;GO:0004702;GO:0006915;GO:0048036;GO:0035329;GO:0036335;GO:0016319;GO:0046621;GO:0030707;GO:0045807;GO:0035332;GO:0006468;GO:0035330;GO:0042220;GO:0045471;GO:0035094;GO:0019233;GO:0030431;GO:0001894
TRINITY_DN37812_c0_g1,GO:0005813;GO:0005737;GO:0005634;GO:0005524;GO:0004674;GO:0018105;GO:0006909;GO:0032436;GO:0008360;GO:0016055;GO:0060069
TRINITY_DN27623_c0_g1,GO:0016591;GO:0070940
TRINITY_DN5031_c0_g1,GO:0005737;GO:0005794;GO:0005654;GO:0005634;GO:0005886;GO:0016605;GO:0017053;GO:0003682;GO:0000987;GO:0046872;GO:0000979;GO:0000977;GO:0000981;GO:0001078;GO:0030183;GO:0060216;GO:0048596;GO:0001892;GO:0060136;GO:0048706;GO:0043353;GO:0030851;GO:0001889;GO:0030324;GO:0030219;GO:0030224;GO:0001779;GO:0045892;GO:0001503;GO:0045944;GO:0045893;GO:0016925;GO:0006355;GO:0030217;GO:0006351;GO:0001829
TRINITY_DN32356_c0_g1,GO:1904115;GO:0031083;GO:0099078;GO:0005829;GO:0005765;GO:0005758;GO:0005759;GO:0005739;GO:0009060;GO:0008089;GO:0048490;GO:0016197;GO:0032418;GO:0031175;GO:0018394
TRINITY_DN29270_c0_g1,
TRINITY_DN21018_c0_g1,GO:0005634;GO:0006310;GO:0051321
TRINITY_DN36132_c0_g1,
TRINITY_DN14761_c0_g1,GO:0005743;GO:0005763;GO:0070181;GO:0003735;GO:0032543;GO:0070125;GO:0070124
TRINITY_DN12465_c0_g1,GO:0005730;GO:0003677;GO:0000166;GO:0003723
TRINITY_DN29457_c0_g1,GO:1904115;GO:0005930;GO:0005814;GO:0005813;GO:0005929;GO:0005829;GO:0070062;GO:0016939;GO:0005874;GO:0015630;GO:0031514;GO:0043005;GO:0043025;GO:0032391;GO:0097470;GO:0005524;GO:0016887;GO:0008017;GO:0003777;GO:0017137;GO:0030507;GO:0009952;GO:0010457;GO:0060271;GO:0021542;GO:0007368;GO:0021904;GO:0009953;GO:0036334;GO:0008544;GO:0007507;GO:0001947;GO:0001701;GO:0060122;GO:0001822;GO:0061024;GO:0034454;GO:0007018;GO:0044458;GO:0061351;GO:0021915;GO:1905515;GO:1905128;GO:0050679;GO:2000771;GO:0048260;GO:0007224
TRINITY_DN12037_c0_g1,GO:0005829;GO:0070062;GO:0005524;GO:0042802;GO:0004496;GO:0006695;GO:0019287;GO:0008299;GO:0050728
TRINITY_DN617_c0_g1,GO:0005737;GO:0031410;GO:0005783;GO:0070971;GO:0005789;GO:0005768;GO:0070062;GO:0031965;GO:0005634;GO:0060090;GO:0005509;GO:0004198;GO:0048306;GO:0042802;GO:0043495;GO:0046983;GO:0006919;GO:0001525;GO:0097190;GO:0034605;GO:0006886;GO:0051898;GO:0032007;GO:0030948;GO:0045766;GO:0043280;GO:0010595;GO:0001938;GO:0051592;GO:0036324
TRINITY_DN14457_c0_g1,GO:0015629;GO:1904115;GO:0005938;GO:0005737;GO:0009898;GO:0031410;GO:0005789;GO:0005925;GO:0031673;GO:0030056;GO:0016021;GO:0014704;GO:0005882;GO:0016020;GO:0015630;GO:0035371;GO:0005635;GO:0005634;GO:0097038;GO:0048471;GO:0014069;GO:0042383;GO:0001725;GO:0030018;GO:0005509;GO:0051010;GO:0042803;GO:0007409;GO:0007155;GO:0045104;GO:0046907;GO:0008090
TRINITY_DN38693_c0_g1,GO:0005576;GO:0004867;GO:0001558
TRINITY_DN34925_c0_g1,GO:0030665;GO:0005794;GO:0008565
TRINITY_DN33334_c0_g1,GO:0000932;GO:0005634;GO:0044822;GO:0000339;GO:0000290;GO:0071044;GO:0006397;GO:0045665;GO:0008380;GO:0019827
TRINITY_DN8480_c0_g1,GO:0005737;GO:0005634;GO:0005524;GO:0046872;GO:0004702;GO:0006915;GO:0043010;GO:0035329
TRINITY_DN19785_c0_g1,GO:0005737;GO:0005739;GO:0030156
TRINITY_DN20798_c0_g1,GO:0016021;GO:0005886;GO:0005524;GO:0042626
TRINITY_DN30959_c0_g1,GO:0005737;GO:0005654;GO:1990841;GO:1904691
TRINITY_DN21749_c0_g1,GO:0071013;GO:0003755;GO:0006457
TRINITY_DN33549_c0_g1,GO:0000777;GO:0005730;GO:0005654;GO:0005634;GO:0003677;GO:0019899;GO:0042393;GO:0042826;GO:0051219;GO:0044822;GO:0043021;GO:0097110;GO:0015631;GO:0008270;GO:0006355;GO:0006351
TRINITY_DN32468_c0_g1,GO:0016021;GO:0019233
TRINITY_DN32023_c0_g1,GO:0016020;GO:0005730;GO:0005524;GO:0004004;GO:0044822;GO:0010501
TRINITY_DN32492_c0_g1,GO:0005886;GO:0005891;GO:0008332;GO:0005245;GO:0070509;GO:0030317;GO:0086010;GO:0019228;GO:0045956;GO:0007165;GO:0030431;GO:0006810
TRINITY_DN30072_c0_g1,GO:0070062;GO:0016021;GO:0016020;GO:0005886;GO:0047710;GO:0046872;GO:0007596;GO:0030194;GO:0046130
TRINITY_DN34815_c0_g1,GO:0005737;GO:0022626;GO:0005622;GO:0016020;GO:0031415;GO:0005730;GO:0005634;GO:0008080;GO:1990190;GO:1990189;GO:0043022;GO:0006475;GO:0018002;GO:0017198;GO:0006474
TRINITY_DN33149_c0_g1,GO:0005615;GO:0004181;GO:0008270;GO:0007586
TRINITY_DN36151_c0_g1,GO:0016323;GO:0030054;GO:0005913;GO:0044291;GO:0005911;GO:0005737;GO:0070062;GO:0030027;GO:0035748;GO:0005654;GO:0005886;GO:0098793;GO:0034750;GO:0098641;GO:0090630;GO:0060561;GO:0043615;GO:0008105;GO:0060088;GO:0016477;GO:0008283;GO:0021747;GO:0035089;GO:0060603;GO:0045930;GO:0001843;GO:0050918;GO:0043065;GO:0001921;GO:0071896;GO:0016337;GO:0048488;GO:0016080;GO:0016032;GO:0042060
TRINITY_DN503_c0_g1,GO:0005737;GO:0004161;GO:0004337;GO:0046872;GO:0006695;GO:0045337;GO:0033384;GO:0016032
TRINITY_DN32906_c0_g1,GO:0003964;GO:0006313
TRINITY_DN33034_c0_g1,GO:0005737;GO:0005634;GO:0005524;GO:0016740;GO:0004842;GO:0009960;GO:0016567;GO:0006511
TRINITY_DN39577_c0_g1,GO:0019172;GO:0019243
TRINITY_DN39683_c0_g1,
TRINITY_DN14214_c0_g1,GO:0005929
TRINITY_DN33994_c0_g1,
TRINITY_DN23764_c0_g1,GO:0005737;GO:0030529;GO:0005634;GO:0000166;GO:0003723;GO:0006417;GO:0006396
TRINITY_DN10362_c0_g1,GO:0005737;GO:0005829;GO:0005783;GO:0005730;GO:0005886;GO:0005786;GO:0008312;GO:0044822;GO:0005047;GO:0042493;GO:0006614;GO:0006616
TRINITY_DN10998_c0_g1,GO:0005524;GO:0016301;GO:0000287;GO:0042803;GO:0004749;GO:0006015;GO:0009116;GO:0009165;GO:0009156
TRINITY_DN22179_c1_g1,GO:0031463;GO:0031464;GO:0031465;GO:0031467;GO:0005737;GO:0005634;GO:0019005;GO:0019788;GO:0008270;GO:0043161;GO:0006513;GO:0045116;GO:0016567;GO:0031146
TRINITY_DN2006_c0_g1,GO:0031011;GO:0000790;GO:0005634;GO:0005700;GO:0005524;GO:0016887;GO:0003677;GO:0003678;GO:0000975;GO:0006338;GO:0016569;GO:0006310;GO:0006281;GO:0045892;GO:0040034;GO:0010468;GO:0006351
TRINITY_DN38732_c0_g1,GO:0001669;GO:0031514;GO:0060271;GO:0007224
TRINITY_DN10163_c0_g1,GO:0003964
TRINITY_DN38161_c0_g1,GO:0005615;GO:0004252
TRINITY_DN32659_c0_g1,GO:0005634;GO:0005524
TRINITY_DN5115_c0_g1,GO:0005815;GO:0005739;GO:0005634;GO:0005524;GO:0008026;GO:0003677;GO:0006281
TRINITY_DN36855_c0_g1,GO:0009535;GO:0016021;GO:0009539;GO:0020037;GO:0046872;GO:0009767
TRINITY_DN23905_c1_g1,GO:0005743;GO:0005763;GO:0044822;GO:0003735;GO:0032543;GO:0070125;GO:0070126;GO:0006412
TRINITY_DN31822_c0_g1,GO:0005737
TRINITY_DN26801_c0_g1,GO:0005856;GO:0005829;GO:0005925;GO:0005634;GO:0005200;GO:0017166;GO:0007015;GO:0007155;GO:0031589;GO:0006936;GO:0000122;GO:0051495;GO:0043410;GO:0051496
TRINITY_DN31666_c0_g1,GO:0005730;GO:0042254
TRINITY_DN36379_c0_g1,GO:0030014;GO:0030015;GO:0000932;GO:0005634;GO:0031047;GO:0033147;GO:0017148;GO:0000288;GO:2000036;GO:0006355;GO:0006351;GO:0001829
TRINITY_DN26685_c0_g1,GO:0005737;GO:0005868;GO:0019898;GO:0000776;GO:0072686;GO:0005635;GO:0042405;GO:0031965;GO:0034399;GO:0005643;GO:0044615;GO:0005654;GO:0005634;GO:0003682;GO:0070840;GO:0031072;GO:0051019;GO:0003729;GO:0005487;GO:0044822;GO:0042803;GO:0015631;GO:0051301;GO:0034605;GO:0035457;GO:0031047;GO:0075733;GO:0000189;GO:0007067;GO:0007077;GO:0007094;GO:0006406;GO:0031990;GO:0046832;GO:0000122;GO:0045947;GO:0006999;GO:0031453;GO:0090316;GO:0090267;GO:0046827;GO:0042307;GO:0006606;GO:0016925;GO:1900034;GO:0010827;GO:0010965;GO:1901673;GO:0070849;GO:0006405;GO:0006404;GO:0006409;GO:0016032;GO:0019083
TRINITY_DN2499_c0_g1,GO:0005737;GO:0030286;GO:0005874;GO:0042623;GO:0003774;GO:0007018
TRINITY_DN22062_c0_g1,GO:0005634;GO:0003677;GO:0003690;GO:0000977;GO:0001077;GO:0007275;GO:0048511;GO:0035914;GO:0006366
TRINITY_DN29890_c0_g1,GO:0005737;GO:0005615;GO:0005634;GO:0030246;GO:0006915;GO:0007157
TRINITY_DN30098_c0_g1,GO:0072669;GO:0048598
TRINITY_DN19012_c0_g1,GO:0005737;GO:0005829;GO:0000791;GO:0031674;GO:0043231;GO:0030016;GO:0005634;GO:0016605;GO:0030017;GO:0003682;GO:0043422;GO:0061629;GO:0031432;GO:0045662;GO:0010832;GO:0000122;GO:0001817;GO:1902253;GO:2000291;GO:0043619;GO:0035994;GO:0035914
TRINITY_DN14662_c0_g1,GO:0070062;GO:0017133;GO:0005759;GO:0009055;GO:0033539;GO:0055114
TRINITY_DN26445_c0_g1,GO:0016607;GO:0005681;GO:0006397;GO:0008380
TRINITY_DN4473_c0_g1,GO:0005739;GO:0005524;GO:0004821;GO:0006427;GO:0032543
TRINITY_DN8150_c0_g1,GO:0016021;GO:0005743;GO:0005751;GO:0005739;GO:0004129;GO:0006123
TRINITY_DN29599_c0_g1,GO:0005788;GO:0005524
TRINITY_DN26005_c0_g1,GO:0022627;GO:0016020;GO:0044822;GO:0003735;GO:0006412
TRINITY_DN21256_c0_g1,GO:0000139;GO:0016021;GO:0031228;GO:0005802;GO:0001517;GO:0008146;GO:0005975;GO:0007155;GO:0007267;GO:0006955;GO:0006954;GO:0006928;GO:0006044;GO:0016266;GO:0006477;GO:0006790
TRINITY_DN26436_c0_g1,GO:0005634;GO:0003677;GO:0046872;GO:0000981;GO:0006351
TRINITY_DN41_c0_g1,GO:0005737;GO:0005634;GO:0000166;GO:0044822;GO:0003723;GO:0030154;GO:0007399
TRINITY_DN30457_c0_g1,GO:0046872;GO:0003964
TRINITY_DN39734_c0_g1,GO:0005737;GO:0005874;GO:0005524;GO:0003777;GO:0007018
TRINITY_DN32991_c0_g1,GO:0005737;GO:0005524;GO:0061631;GO:0061630;GO:0031625;GO:0004842;GO:0043161;GO:0070979;GO:0070936
